"time (s)","v("/out" ?result "tran-tran") (V)"
0.00000,0.00000
1.786E-13,0.00000
3.571E-13,0.00000
7.143E-13,0.00000
1.429E-12,0.00000
2.857E-12,0.00000
5.179E-12,0.2514
7.857E-12,0.5414
1.321E-11,0.5414
2.393E-11,0.5414
3.607E-11,0.5414
3.643E-11,0.5414
3.714E-11,0.5414
3.857E-11,0.5414
4.143E-11,0.5414
4.714E-11,0.5414
5.857E-11,0.5414
8.143E-11,0.5414
1.121E-10,0.5414
1.429E-10,0.5414
1.43E-10,0.5414
1.432E-10,0.5414
1.436E-10,0.5414
1.443E-10,0.5414
1.457E-10,0.5414
1.48E-10,0.5653
1.507E-10,0.5930
1.561E-10,0.5930
1.668E-10,0.5930
1.789E-10,0.5930
1.793E-10,0.5930
1.8E-10,0.5930
1.814E-10,0.5930
1.843E-10,0.5930
1.900E-10,0.5930
2.014E-10,0.5930
2.243E-10,0.5930
2.550E-10,0.5930
2.857E-10,0.5930
2.859E-10,0.5930
2.861E-10,0.5930
2.864E-10,0.5930
2.871E-10,0.5930
2.886E-10,0.5930
2.909E-10,0.6149
2.936E-10,0.6402
2.989E-10,0.6402
3.096E-10,0.6402
3.218E-10,0.6402
3.221E-10,0.6402
3.229E-10,0.6402
3.243E-10,0.6402
3.271E-10,0.6402
3.329E-10,0.6402
3.443E-10,0.6402
3.671E-10,0.6402
3.979E-10,0.6402
4.286E-10,0.6402
4.288E-10,0.6402
4.289E-10,0.6402
4.293E-10,0.6402
4.3E-10,0.6402
4.314E-10,0.6402
4.338E-10,0.6622
4.364E-10,0.6875
4.418E-10,0.6875
4.525E-10,0.6875
4.646E-10,0.6875
4.65E-10,0.6875
4.657E-10,0.6875
4.671E-10,0.6875
4.7E-10,0.6875
4.757E-10,0.6875
4.871E-10,0.6875
5.100E-10,0.6875
5.407E-10,0.6875
5.714E-10,0.6875
5.716E-10,0.6875
5.718E-10,0.6875
5.721E-10,0.6875
5.729E-10,0.6875
5.743E-10,0.6875
5.766E-10,0.7094
5.793E-10,0.7348
5.846E-10,0.7348
5.954E-10,0.7348
6.075E-10,0.7348
6.079E-10,0.7348
6.086E-10,0.7348
6.100E-10,0.7348
6.129E-10,0.7348
6.186E-10,0.7348
6.3E-10,0.7348
6.529E-10,0.7348
6.836E-10,0.7348
7.143E-10,0.7348
7.145E-10,0.7348
7.146E-10,0.7348
7.15E-10,0.7348
7.157E-10,0.7348
7.171E-10,0.7348
7.195E-10,0.7547
7.221E-10,0.7777
7.275E-10,0.7777
7.382E-10,0.7777
7.504E-10,0.7777
7.507E-10,0.7777
7.514E-10,0.7777
7.529E-10,0.7777
7.557E-10,0.7777
7.614E-10,0.7777
7.729E-10,0.7777
7.957E-10,0.7777
8.264E-10,0.7777
8.571E-10,0.7777
8.573E-10,0.7777
8.575E-10,0.7777
8.579E-10,0.7777
8.586E-10,0.7777
8.6E-10,0.7777
8.623E-10,0.7977
8.65E-10,0.8207
8.704E-10,0.8207
8.811E-10,0.8207
8.932E-10,0.8207
8.936E-10,0.8207
8.943E-10,0.8207
8.957E-10,0.8207
8.986E-10,0.8207
9.043E-10,0.8207
9.157E-10,0.8207
9.386E-10,0.8207
9.693E-10,0.8207
1.0E-9,0.8207
1.0E-9,0.8207
1.0E-9,0.8207
1.001E-9,0.8207
1.001E-9,0.8207
1.003E-9,0.8207
1.005E-9,0.8407
1.008E-9,0.8637
1.013E-9,0.8637
1.024E-9,0.8637
1.036E-9,0.8637
1.036E-9,0.8637
1.037E-9,0.8637
1.039E-9,0.8637
1.041E-9,0.8637
1.047E-9,0.8637
1.059E-9,0.8637
1.081E-9,0.8637
1.112E-9,0.8637
1.143E-9,0.8637
1.143E-9,0.8637
1.143E-9,0.8637
1.144E-9,0.8637
1.144E-9,0.8637
1.146E-9,0.8637
1.148E-9,0.8816
1.151E-9,0.9023
1.156E-9,0.9023
1.167E-9,0.9023
1.179E-9,0.9023
1.179E-9,0.9023
1.18E-9,0.9023
1.181E-9,0.9023
1.184E-9,0.9023
1.19E-9,0.9023
1.201E-9,0.9023
1.224E-9,0.9023
1.255E-9,0.9023
1.286E-9,0.9023
1.286E-9,0.9023
1.286E-9,0.9023
1.286E-9,0.9023
1.287E-9,0.9023
1.289E-9,0.9023
1.291E-9,0.9183
1.294E-9,0.9367
1.299E-9,0.9367
1.31E-9,0.9367
1.322E-9,0.9367
1.322E-9,0.9367
1.323E-9,0.9367
1.324E-9,0.9367
1.327E-9,0.9367
1.333E-9,0.9367
1.344E-9,0.9367
1.367E-9,0.9367
1.398E-9,0.9367
1.429E-9,0.9367
1.429E-9,0.9367
1.429E-9,0.9367
1.429E-9,0.9367
1.43E-9,0.9367
1.431E-9,0.9367
1.434E-9,0.9507
1.436E-9,0.9668
1.442E-9,0.9668
1.452E-9,0.9668
1.465E-9,0.9668
1.465E-9,0.9668
1.466E-9,0.9668
1.467E-9,0.9668
1.47E-9,0.9668
1.476E-9,0.9668
1.487E-9,0.9668
1.51E-9,0.9668
1.541E-9,0.9668
1.571E-9,0.9668
1.572E-9,0.9668
1.572E-9,0.9668
1.572E-9,0.9668
1.573E-9,0.9668
1.574E-9,0.9668
1.577E-9,0.9808
1.579E-9,0.9969
1.585E-9,0.9969
1.595E-9,0.9969
1.608E-9,0.9969
1.608E-9,0.9969
1.609E-9,0.9969
1.61E-9,0.9969
1.613E-9,0.9969
1.619E-9,0.9969
1.630E-9,0.9969
1.653E-9,0.9969
1.684E-9,0.9969
1.714E-9,0.9969
1.714E-9,0.9969
1.715E-9,0.9969
1.715E-9,0.9969
1.716E-9,0.9969
1.717E-9,0.9969
1.719E-9,1.009
1.722E-9,1.023
1.727E-9,1.023
1.738E-9,1.023
1.75E-9,1.023
1.751E-9,1.023
1.751E-9,1.023
1.753E-9,1.023
1.756E-9,1.023
1.761E-9,1.023
1.773E-9,1.023
1.796E-9,1.023
1.826E-9,1.023
1.857E-9,1.023
1.857E-9,1.023
